"","message","likes_count","comments_count","shares_count"
"170","cmon connacht rugby . . . emma byrne in mervue",132,7,5
"171","adam wioleta ebrowscy and his son jakub making the most of the snow",3,0,2
"172","two-year-old tommy ryan happy out with his snowman",41,5,6
"173","lee oreilly in ballinderreen building a monster",21,3,3
"174","thirsty snowman by the coyne sisters",54,5,14
"175","lisa and caoimhe daly in knocknacarra",20,1,0
"176","galway county council clearing a snowdrift near new inn, ballinasloe (photo: galway county council)",1114,255,1016
"177","support creggs rfc!!",88,18,17
"178","approximately 100 staff of uhg and merlin park hospitals had to be accommodated in nearby b&bs to keep essential services going during the current extreme weather in galway.",224,13,19
"179"," 4pm: alert downgrade: the snow/ice weather warning for galway has been downgraded to status orange and is in place until 9am on saturday. snow accumulations will continue due to further falls.",129,27,45
"180","a big red tractor ... the only way to travel in loughrea in todays snow (photo: shuni barrett)",149,6,37
"181","citylinkireland are back operating their express galway/dublin service today.",14,1,5
"182","galway city & county supermarkets update:

 spar roscam open
 spar duggans renmore open
 dunnes stores all closed
 tesco ireland all closed
 lidl closed
 aldi currently closed and awaiting update
 super valu clifden is open, but all other are closed
 centra moycullen closed
 joyces all currently closed and awaiting update

this list is not exhaustive and is subject to change. many larger filling stations, especially the 24 hour ones, are open.",172,95,104
"183","unsung heroes ... the radiation therapy team at uhg braved the elements to keep the show on the road. many other hospital staff and emergency workers have also worked through challenging conditions over the past two days. their efforts shouldnt be forgotten. photo: ann-marie ohara)",1444,105,105
"184","irish water is advising customers in county galway that due to the extremely cold weather conditions and exceptionally high water demand, water treatment plants are struggling to keep up with supply demands.",37,6,18
"185","mother natures sublime soft white blanket over salthill this morning (video: enda cunningham)",386,24,138
"186"," the status red snow/ice warning for galway has been extended to 6pm today

7.45am update from the national emergency coordination group:
a red level warning is in place for snow with strong easterly winds for munster, leinster and county galway. an orange level warning is in place in the rest of the country.
        however, the blizzard conditions have passed and the public safety advice to shelter indoors is withdrawn.
        conditions are and will remain very difficult and the public are advised continue to exercise high levels of caution for their own safety in the extreme cold, accumulated snow and icy conditions underfoot.
        there are variations in storm impact across the country and people need to take account of circumstances locally before deciding to venture outdoors or undertake journeys.
        in particular, it will take some time to get roads open again and people should listen for local updates on road conditions.",86,14,51
"187","the front page of this fridays galway city tribune. itll be in shops as soon as its safe for our delivery team. it will also be available to buy online from early morning at:

http://connachttribune.ie/digital-editions",9,1,0
"188","galway city council update:

priority is to deploy available resources to keep roads clear and ensure essential services. salting recommenced in last hour. we're working closely with cope in relation to getting rough sleepers into our cold weather service in the westside.  staff continuously monitoring situation. stay safe and stay indoors. emergency calls to 091 536400.

galway city council's weather assessment and response team has met each day this week to assess the current and forecasted situation regarding the current snow and ice warnings and other weather related issues. the team met again at lunchtime today.

weather assessment

there is a status red warning snow/ice that applies to galway city currently in place and up to 6.00am on friday, 2nd march.

severe weather (ice/snow)

5 -day rainfall and temperature forecasts were assessed (www.met.ie).
temperatures are expected to fall below 0 (freezing) in coming days with temperatures falling as low as -4 degrees on the morning of thurs. 1st mar.
light precipitation was forecast from evening of wed. 28th feb. increasing to medium heavy by morning of fri. 2nd mar. coupled with low temperatures this precipitation will most likely be snow.

high tides

the opw issued a high tide advisory notice for the period of thurs. 1st mar. to mon. 5th mar.

galway city council are aware of the current period of very high astronomical spring tides.
the highest astronomical tide in this period will occur on sat. 3 rd mar. '18 - accurate predicted water levels are not yet available for this date.

actions/measures in place:

if anyone is in need of a bed overnight, our #coldweatherresponse is in place for rough sleepers with @copegalway contact 1800 788887 (7pm to 11pm) & 085 8009641 (9pm+)

the winter maintenance programme for roads across the city is on-going. it is intended that salting operations will continue. currently being salted on national and principle regional routes in and across the city .the situation will be monitored for following days. galway city council has an ample supply (and reserve stock) of salt.

the main pedestrianised streets in the city centre have been salted and the status of the streets will be monitored thereafter.

the infrastructure section will monitor tide levels and keep in contact with the harbour master during this period of high astronomical spring tides
the aquadam bund at fishmarket will be partially inflated and roads crews will be on standby (for road closures etc.) in the event of overtopping/flooding due to tides particularly early on saturday morning 3rd march.
a follow up meeting of the weather assessment team is scheduled for early on friday morning with staff and crews on standby.",29,4,5
"189","statement from health minister simon harris:

i want to pay tribute today to our outstanding health service staff all over the country for their incredible dedication and commitment.

they are going to huge efforts to keep vital services open and ensure patients are looked after in very difficult conditions. from across ireland i have heard stories today of health care workers walking to work, staying past their shifts, sleeping in hospitals overnight, and going above and beyond the call of duty to ensure their patients get the care they need.

i would also like to thank our paramedics for transporting patients in very difficult conditions, civil defence staff for helping deliver crucial medication and the defence forces for transferring dialysis patients and medicines, as well as helping our dedicated health staff to get to work safely.

let us all support our committed health care staff by ensuring we keep emergencies for emergencies.

i would also like to take this opportunity to appeal to people to check in on your vulnerable friends, relatives and neighbours, when its safe to do so, to make sure they are well and warm.""",449,36,66
"190","galway girl in knocknacarra ready for the galway races and another great year of hurling. (photo: nra n ghrofa)",123,7,2
"191","white-out . . . abbeyknockmoy this morning (photo: fergal king)",222,11,35
"192"," children in salthill park taking advantage of snow day (video: joe oshaughnessy)",433,27,96
"193","galway bay golf resort captured by drone today by gearoid hawkins",287,20,40
"194","coorbaun, loughrea under a blanket of snow (photos: gemma fahy)",100,5,11
"195","the snow on salthill prom is getting quite heavy now. -2.5c at 2pm.",334,35,87
"196","stunning ... the approach road to silver strand, photographed by brian corcoran.",1164,61,115
"197","garda have said they have had no report of the discovery of a body at the public toilets in eyre square, contrary to posts on social media over the past 24 hours.",109,61,59
"198","due to the current national weather situation, the nui galway alumni awards gala scheduled for this saturday, 3rd march has been cancelled.  while the nui galway campus is scheduled to reopen on saturday, in the interests of the safety of alumni who may be travelling significant distances to the event, the gala will be rescheduled.",10,0,3
"199","all dunnes stores outlets in the republic and north will be closed today and will remain closed until 1pm friday. this reopening time is subject to change.

all tesco ireland stores will close at 2pm today, and will re-open at 1pm friday. this reopening time is subject to change.

all lidl stores in the republic of ireland will close at 3pm today and re-open on friday afternoon.

all aldi stores will close at 1pm today and reopen at 5pm tomorrow.",129,39,115
"200","irish rail update:
the final local services today will be:

11:05hrs galway to dublin heuston
12:30hrs dublin heuston to galway (special, changed from 1pm)
western rail corridor: 10.00hrs ennis to galway 
10.30hrs galway to ennis",18,7,12
"201","hospitals update:

following the upgrade of the weather warning last night by met eireann to status red for the entire country today (thursday march 1st), galway university hospitals (university hospital galway and merlin park university hospital) and portiuncula university hospital have cancelled routine electives and outpatient appointments today and tomorrow (friday 2nd).
 
the hospitals are putting arrangements in place to ensure the continuation of essential services for chemotherapy and dialysis patients as well as those coming in for urgent surgery. these patients are being prioritised at this time and are being contacted by the clinical teams in relation to appointments/procedures planned for today and tomorrow. in circumstances where patients are unable to travel, alternative dates will be provided as soon as possible.  
 
in relation to the renal service in merlin park, we are in contact with transport providers for dialysis patients with regard to the weather conditions. patients will be contacted individually and decisions will be based on clinical need and the travel advice from the national emergency co-ordination group.
 
we will continue to do everything possible to maintain all essential services to patients receiving planned cancer and renal services. all appointments cancelled during this period will be rescheduled and we will be in contact directly with patients to reschedule their appointments.
 
patients should be advised that if they do attend the hospital today for a clinic appointment they will be seen.

where possible, radiotherapy patients should attend for their scheduled treatment in uhg.
 
the hospitals emergency departments continues to be busy and we expect difficulties around discharge planning as a consequence of the adverse conditions.
we would ask that patients who are being discharged today are collected from the hospital as early as possible to avoid travelling during the worsening conditions forecast for this afternoon
 
we would encourage people to consider all options available to them for their healthcare needs and to protect the ed for those most seriously ill as delays can be expected.
 
guh and puh are working closely with colleagues in the community health organisations and with the national ambulance service.",86,16,75
"202","today's scheduled o'donnellan & joyce property auction has been postponed until march 9 due to the weather.",6,0,0
"203","due to the status red weather alert, the offices of the connacht tribune will be closed tomorrow, friday 2 march",14,0,2
"205","the national transport authority has identified a potential site at the coolagh roundabout in galway  just off the end of the motorway  for a park and ride facility.",28,8,2
"222"," its currently -4.8c in galway city, and road conditions, footpaths are reported as treacherous in many parts of the city and county.",200,30,77
"226"," all bus ireann and expressway services nationwide are cancelled.

gobus galway-dublin-airport services cancelled 

burkes bus running as of 6.40am, but they are reporting poor conditions from corofin crossroads to galway city, so expect delays and check their website.",88,27,62
"227"," all schools, third level institutions and colleges of further education nationwide will be closed tomorrow and friday, as instructed by the minister for education due to the status red weather warning.",558,211,435
"228"," status red snow/ice warning 

met ireann has just upgraded the red warning nationwide

 all schools, third level institutions and colleges of further education will be closed tomorrow and friday, as instructed by the minister for education due to the status red weather warning. 

further heavy snow showers will bring accumulations of significant levels with all areas at risk.
blizzard conditions will develop from the south thursday afternoon and evening as heavy snow and strong easterly winds bring snow drifts northwards over the country. eastern and southern coastal counties will be worst affected.

the warning is in place from now until 3pm friday.",777,730,1314
"229","the front page of this weeks connacht tribune. in shops from early thursday morning or to buy online at:

http://connachttribune.ie/digital-editions",8,0,2
"230","update 11pm: status red warning now in place nationwide

city council weather update:

galway city councils weather assessment and response team has met each day this week to assess the current and forecasted situation regarding the current snow and ice warnings and other weather related issues. the team met again on wednesday afternoon with members of the senior management team of gcc in attendance. an assessment of the current situation follows along with the actions being undertaken by city council staff.
 
weather
there are 2 weather warnings (www.met.ie)  in place that apply to galway city:
          a status orange warning for snow ice for galway valid from 5pm wed. 28th feb. to 12noon on thurs 1st mar.  
         a status orange warning for snow ice for connacht valid 8pm on thurs. 1st mar. to 12noon on fri. 2nd mar. this warns of persistent snow showers in this period which together with strong easterly winds may lead to snow drifts.
 
the 2 status red warnings in place do not apply to galway.
 
weather assessment
 
severe weather (ice/snow)
         5 -day rainfall and temperature forecasts were assessed (www.met.ie).
         temperatures are expected to fall below 0 (freezing) in coming days with temperatures expected to fall as low as -4 degrees on the morning of thurs. 1st mar.
         light precipitation is forecast from evening of wed. 28th feb.  increasing to light-medium by morning of fri. 2nd mar. coupled with low temperatures this precipitation will most likely be snow.  
 
high tides
         the opw issued a high tide advisory notice for the period of thurs. 1st mar. to mon. 5th mar.
         galway city council are aware of the period of the current period of very high astronomical spring tides.
         the highest astronomical tide in this period will occur on sat. 3rd mar. 18  accurate predicted water levels are not yet available for this date.
 
 
actions/measures in place:
 
         the winter maintenance programme for roads across the city is on-going. it is intended that salting operations will take place 7-9pm tonight and again at 5am tomorrow morning (thurs. 1st mar. 18). the situation will be monitored for following days. galway city council has an ample supply (and reserve stock) of salt.
         requests have come in for salting on roads in estates and carparks in churches (in advance of religious events at the weekend).  the roads section will facilitate such requests as best as possible.
         the main pedestrianised streets in the city centre will be salted on thursday morning and the status of the streets will be monitored thereafter.
         the roads section will monitor water levels and keep in contact with the harbour master during this period of high astronomical spring tides
         the aquadam bund at fishmarket  will be partially inflated and roads crews will be on standby (for road closures etc.) in the event of overtopping/flooding due to tides particularly early on saturday morning 3rd march.
           a follow up meeting of the weather assessment team is scheduled for 2.30pm on thurs. 1st mar. 18",60,36,37
"231","garda are investigating an armed robbery at derrydonnell filling station near athenry.",90,95,78
"232","the stunning will be brewing up a storm in the big top at galway international arts festival this summer. the galway band has been announced to play on sunday, july 22, with special guests the academic. tickets go on sale (35) tomorrow morning (thursday) at 9am from giaf.ie and roisindubh.net",217,87,21
"233","galway city council has sought more information on plans for a change of use of five apartments over oreillys bar in salthill for use as a boutique hotel.",19,5,5
"234","a heroin addict has been given a suspended sentence for stealing money from a church poor box using the spoke of a bicycle wheel with sticky tape attached.",50,25,41
"235","12 garda stations in galway have no access to the pulse, the computer system used to log and track crimes and criminals in ireland.",14,12,5
"236","the restoration of ballyglunins railway station has attracted international attention. in this weeks community matters, stephen corrigan meets the committee behind the project which, they say, is ultimately a community-based project for the improvement of the area.",56,3,4
"237","the irish embassy has ruled out a suggestion that the all-ireland winning galway hurlers visit trumps white house for st patricks day.",42,19,4
"238"," with the beast from the east set to hit ireland in the coming week, this is a look back at the big snow of 1947 from the connacht tribune archives. a thick blanket of snow in renmore.",176,18,30
"239","a gort man, who donated a kidney to his brother nearly a year ago, is organising an event in aid of the irish kidney association next saturday.",380,4,49
"240","the fish farm industry has been described as out of control after it was confirmed that salmon farm owners in the west of ireland failed to report potentially harmful escapes to the authorities, despite being legally obliged to.",29,9,11
"241","a staggering 10 million is to be borrowed by galway county council to spend on refurbishing their stock of local authority houses over the next five years.",21,8,1
"242","three teenage boys have been sent forward for trial charged with a spate of armed muggings which occurred at or near student accommodation at the headford road area of the galway city last september.",60,31,15
"243","families face being split up from next year if the department of educations directive for tuam educate together primary school to accept no more than 13 pupils is implemented.",25,1,11
"244"," met ireann is forecasting exceptionally cold weather for next week, with significant wind chill and severe frosts. disruptive snow showers are also expected from tuesday, especially in the east and south of the country, but they may hit the west.

please check in on elderly relations and neighbours and make sure theyre ok for fuel and any other supplies they may need. also, make plans where necessary for animals and livestock.",138,16,85
"245","galway united f.c. are off to a winning start in the first division. a hat-trick from new signing, danny furlong (pictured), along with a ronan manning strike, saw them record a 4-1 win at home to athlone town tonight, with the visitors grabbing a consolation goal in the second minute of second-half injury time.",58,1,5
"246","the mayo association galway will hold their annual dinner dance on saturday, march 10th in the galway bay hotel, salthill. special tribute will be paid to alan dillon on his retirement from county football. tickets are 50.",24,26,0
"261","the front page of this weeks galway city tribune. in shops from early friday morning or to buy online at:

http://connachttribune.ie/digital-editions",8,2,0
"262","a young lady, understood to be aged in her late teens, has died after being rescued from the water at blackrock in salthill this morning. rip.",144,111,41
"263","update: a lady, believed to be in her late teens, has died after being rescued from the water at blackrock this morning,.",71,36,24
"265","after nine weeks in a tortuous battle against the harshest elements, totally dependent on his meticulous preparation and his own wits, solo atlantic rower damian browne has discovered the most important lesson in life: never give up.",87,0,3
"266","local business leaders are hopeful that the governments new project ireland 2040 plan will transform the regions economy by improving connectivity along the entire western seaboard.",2,2,1
"278","the front page of this weeks connacht tribune. in shops from early thursday morning or to buy online at:

http://connachttribune.ie/digital-editions",3,1,0
"279","congrats to calasanctius college oranmores u14 boys who were crowned all-ireland schools a basketball champions following a 51-27 win over st pats of cavan in the national basketball arena in tallaght this afternoon.",56,1,5
"280","investigations are underway after a hair salon and phone shop were broken into in gort overnight.",13,3,6
"281","three billboards outside leitir meallin, conamara. erected to celebrate director martin mcdonagh's success at the baftas for three billboards outside ebbing, missouri which won five awards. it is also nominated for seven oscars. the directors father is from the village and martin and his brother john michael (director of the guard) spent much of their childhood there. (video: joe o'shaughnessy)",192,20,43
"282","college students in galway are becoming drugs dealers as a means of funding their way through college, a court has been told. it reminds me of breaking bad, judge mary fahy said at galway district court after hearing evidence against three nuig students who, in separate and unrelated cases, pleaded guilty to drug dealing offences.",130,71,43
"283","the owners of a galway city nightclub and pub received hefty fines this week for breaches of smoking regulations on their respective premises and must also pay the costs and legal expenses of the hse, which prosecuted them.",93,27,14
